Subject,Body,Sender,Received Date,Due Date,Priority
Contract Renewal,Reply to invitation,travel@company.com,2024-11-29,2024-12-01,High Priority
Training Invitation,Process vendor payments,events@company.com,2024-11-27,2024-12-02,High Priority
Leave Request,Discuss quarterly goals,admin@company.com,2024-11-29,2024-12-02,High Priority
Employee Survey,Request office maintenance,events@company.com,2024-11-26,2024-12-02,High Priority
Office Maintenance,Install updates,events@company.com,2024-11-27,2024-12-02,High Priority
System Maintenance,Review new company policies,marketing@company.com,2024-11-26,2024-12-02,High Priority
Meeting Agenda,Reply to invitation,ceo@company.com,2024-11-27,2024-12-02,High Priority
Holiday Plans,Approve leave application,admin@company.com,2024-12-01,2024-12-03,High Priority
Office Maintenance,Coordinate event logistics,manager@company.com,2024-12-02,2024-12-03,High Priority
Vendor Invoice,Prepare client proposal,it@company.com,2024-11-30,2024-12-03,High Priority
Client Follow-Up,Share training feedback,admin@company.com,2024-12-01,2024-12-03,High Priority
Client Follow-Up,Renew vendor contracts,legal@company.com,2024-11-25,2024-12-03,High Priority
Leave Request,Approve final budget,events@company.com,2024-11-26,2024-12-03,High Priority
Marketing Plan,Install updates,training@company.com,2024-11-29,2024-12-03,High Priority
Vendor Invoice,Register for training session,admin@company.com,2024-11-26,2024-12-03,High Priority
Holiday Plans,Review new company policies,travel@company.com,2024-11-27,2024-12-03,High Priority
System Update,Schedule review meeting,ceo@company.com,2024-11-29,2024-12-03,High Priority
Event Planning,Install updates,marketing@company.com,2024-12-01,2024-12-03,High Priority
Policy Review,Review updated policies,it@company.com,2024-12-01,2024-12-03,High Priority
Contract Renewal,Request office maintenance,it@company.com,2024-11-30,2024-12-03,High Priority
Event Planning,Discuss project updates,events@company.com,2024-11-29,2024-12-03,High Priority
Contract Renewal,Sync on project updates,manager@company.com,2024-11-25,2024-12-04,High Priority
Office Maintenance,Plan kickoff meeting,finance@company.com,2024-11-27,2024-12-04,High Priority
Project Kickoff,Request office maintenance,marketing@company.com,2024-11-26,2024-12-04,High Priority
Project Deadline,Plan kickoff meeting,marketing@company.com,2024-11-26,2024-12-04,High Priority
Marketing Plan,Confirm holiday schedule,manager@company.com,2024-11-27,2024-12-04,High Priority
Invoice Submission,Confirm holiday schedule,marketing@company.com,2024-12-03,2024-12-04,High Priority
Office Maintenance,Review new company policies,ceo@company.com,2024-11-30,2024-12-04,High Priority
Contract Renewal,Discuss quarterly goals,legal@company.com,2024-11-27,2024-12-04,High Priority
Project Deadline,Approve leave application,training@company.com,2024-11-29,2024-12-04,High Priority
Project Kickoff,Review updated policies,training@company.com,2024-11-27,2024-12-05,High Priority
Contract Renewal,Discuss quarterly goals,training@company.com,2024-11-30,2024-12-05,High Priority
HR Announcement,Review new company policies,events@company.com,2024-11-28,2024-12-05,High Priority
Training Feedback,Submit Q4 invoice,admin@company.com,2024-12-01,2024-12-05,High Priority
Budget Approval,Review new company policies,marketing@company.com,2024-11-28,2024-12-05,High Priority
Meeting Reminder,Provide feedback on report,events@company.com,2024-11-26,2024-12-05,High Priority
Weekly Sync-Up,Install updates,it@company.com,2024-12-01,2024-12-05,High Priority
Client Proposal,Share training feedback,hr@company.com,2024-11-25,2024-12-05,High Priority
Training Invitation,Review agenda for meeting,legal@company.com,2024-12-03,2024-12-05,High Priority
System Maintenance,Request office maintenance,travel@company.com,2024-11-27,2024-12-05,High Priority
Event RSVP,Finalize marketing plan,team@company.com,2024-12-03,2024-12-05,High Priority
Budget Approval,Install updates,it@company.com,2024-11-27,2024-12-05,High Priority
Travel Itinerary,Approve leave application,it@company.com,2024-12-04,2024-12-06,High Priority
Vendor Invoice,Share training feedback,hr@company.com,2024-12-03,2024-12-06,High Priority
Holiday Plans,Coordinate event logistics,manager@company.com,2024-11-29,2024-12-06,High Priority
Project Kickoff,Renew vendor contracts,manager@company.com,2024-11-29,2024-12-06,High Priority
Team Meeting,Prepare presentation,events@company.com,2024-12-01,2024-12-06,High Priority
Budget Approval,Approve leave application,travel@company.com,2024-11-29,2024-12-06,High Priority
Policy Review,Finalize marketing plan,finance@company.com,2024-11-29,2024-12-06,High Priority
Invoice Submission,Discuss quarterly goals,it@company.com,2024-11-26,2024-12-06,High Priority
Feedback Request,Process vendor payments,it@company.com,2024-11-30,2024-12-06,High Priority
HR Announcement,Finalize marketing plan,travel@company.com,2024-11-28,2024-12-06,High Priority
Vendor Invoice,Request office maintenance,it@company.com,2024-11-29,2024-12-06,High Priority
Client Proposal,Install updates,marketing@company.com,2024-11-26,2024-12-06,High Priority
Employee Survey,Install updates,finance@company.com,2024-12-03,2024-12-06,High Priority
Travel Itinerary,Announce HR changes,finance@company.com,2024-11-29,2024-12-07,High Priority
Client Proposal,Schedule maintenance window,manager@company.com,2024-12-04,2024-12-07,High Priority
Invoice Submission,Submit travel plans,it@company.com,2024-12-05,2024-12-07,High Priority
Policy Review,Process vendor payments,travel@company.com,2024-11-29,2024-12-07,High Priority
Performance Review,Schedule maintenance window,admin@company.com,2024-12-04,2024-12-07,High Priority
Client Proposal,Submit Q4 invoice,team@company.com,2024-12-03,2024-12-07,High Priority
Event RSVP,Install updates,admin@company.com,2024-12-01,2024-12-07,High Priority
Meeting Reminder,Confirm holiday schedule,admin@company.com,2024-11-28,2024-12-07,High Priority
Feedback Request,Install updates,finance@company.com,2024-12-01,2024-12-07,High Priority
Travel Itinerary,Confirm holiday schedule,admin@company.com,2024-12-05,2024-12-07,High Priority
Training Invitation,Prepare client proposal,hr@company.com,2024-11-27,2024-12-08,High Priority
Weekly Sync-Up,Coordinate event logistics,manager@company.com,2024-11-25,2024-12-08,High Priority
Client Proposal,Complete the draft,ceo@company.com,2024-12-01,2024-12-08,High Priority
Performance Review,Follow up with client,events@company.com,2024-12-03,2024-12-08,High Priority
Event Planning,Sync on project updates,legal@company.com,2024-12-03,2024-12-08,High Priority
Office Maintenance,Follow up with client,it@company.com,2024-12-05,2024-12-08,High Priority
Weekly Sync-Up,Process vendor payments,travel@company.com,2024-11-27,2024-12-08,High Priority
Invoice Submission,Install updates,team@company.com,2024-11-27,2024-12-08,High Priority
Project Kickoff,Provide feedback on report,hr@company.com,2024-12-02,2024-12-08,High Priority
Meeting Reminder,Coordinate event logistics,marketing@company.com,2024-12-02,2024-12-08,High Priority
Vendor Invoice,Prepare client proposal,events@company.com,2024-11-27,2024-12-08,High Priority
System Maintenance,Complete the draft,finance@company.com,2024-11-26,2024-12-08,High Priority
Training Invitation,Review agenda for meeting,ceo@company.com,2024-11-29,2024-12-08,High Priority
Marketing Plan,Review agenda for meeting,team@company.com,2024-11-26,2024-12-08,High Priority
Event RSVP,Submit Q4 invoice,hr@company.com,2024-11-29,2024-12-08,High Priority
HR Announcement,Renew vendor contracts,finance@company.com,2024-11-29,2024-12-08,High Priority
Policy Update,Process vendor payments,legal@company.com,2024-11-28,2024-12-08,High Priority
Meeting Reminder,Sync on project updates,manager@company.com,2024-11-25,2024-12-09,High Priority
Performance Review,Schedule maintenance window,events@company.com,2024-12-02,2024-12-09,High Priority
Budget Approval,Review agenda for meeting,training@company.com,2024-11-29,2024-12-09,High Priority
Holiday Plans,Coordinate event logistics,it@company.com,2024-11-25,2024-12-09,High Priority
Project Kickoff,Schedule maintenance window,training@company.com,2024-12-03,2024-12-09,High Priority
Office Maintenance,Reply to invitation,it@company.com,2024-11-29,2024-12-09,High Priority
Policy Update,Follow up with client,admin@company.com,2024-11-26,2024-12-09,High Priority
Event Planning,Discuss project updates,finance@company.com,2024-12-05,2024-12-09,High Priority
Client Follow-Up,Submit travel plans,admin@company.com,2024-12-05,2024-12-09,High Priority
Event RSVP,Sync on project updates,manager@company.com,2024-12-04,2024-12-09,High Priority
Invoice Submission,Approve final budget,finance@company.com,2024-12-03,2024-12-09,High Priority
Team Meeting,Share training feedback,it@company.com,2024-12-03,2024-12-09,High Priority
Leave Request,Request office maintenance,hr@company.com,2024-12-02,2024-12-10,Medium Priority
Project Deadline,Reply to invitation,team@company.com,2024-11-28,2024-12-10,Medium Priority
Quarterly Review,Provide feedback on report,it@company.com,2024-11-25,2024-12-10,Medium Priority
Office Maintenance,Announce HR changes,finance@company.com,2024-12-02,2024-12-10,Medium Priority
Marketing Plan,Request office maintenance,travel@company.com,2024-12-01,2024-12-10,Medium Priority
Training Invitation,Discuss quarterly goals,legal@company.com,2024-12-05,2024-12-10,Medium Priority
Feedback Request,Process vendor payments,ceo@company.com,2024-12-02,2024-12-10,Medium Priority
Policy Review,Review agenda for meeting,admin@company.com,2024-12-05,2024-12-10,Medium Priority
Policy Review,Discuss project updates,admin@company.com,2024-12-05,2024-12-10,Medium Priority
System Update,Complete the draft,hr@company.com,2024-12-02,2024-12-10,Medium Priority
Leave Request,Submit travel plans,ceo@company.com,2024-11-27,2024-12-10,Medium Priority
Training Feedback,Install updates,marketing@company.com,2024-12-05,2024-12-10,Medium Priority
HR Announcement,Sync on project updates,marketing@company.com,2024-11-27,2024-12-11,Medium Priority
Budget Approval,Follow up with client,ceo@company.com,2024-12-03,2024-12-11,Medium Priority
Employee Survey,Submit travel plans,ceo@company.com,2024-11-27,2024-12-11,Medium Priority
Client Proposal,Complete the draft,team@company.com,2024-11-28,2024-12-11,Medium Priority
Travel Itinerary,Finalize marketing plan,admin@company.com,2024-11-28,2024-12-11,Medium Priority
Weekly Sync-Up,Submit Q4 invoice,manager@company.com,2024-11-29,2024-12-11,Medium Priority
Meeting Agenda,Reply to invitation,manager@company.com,2024-11-29,2024-12-11,Medium Priority
Feedback Request,Approve final budget,travel@company.com,2024-12-04,2024-12-11,Medium Priority
Training Invitation,Request office maintenance,hr@company.com,2024-11-27,2024-12-11,Medium Priority
Team Meeting,Register for training session,travel@company.com,2024-12-04,2024-12-11,Medium Priority
HR Announcement,Reply to invitation,travel@company.com,2024-12-05,2024-12-11,Medium Priority
Event Planning,Install updates,finance@company.com,2024-11-28,2024-12-11,Medium Priority
Project Kickoff,Confirm holiday schedule,marketing@company.com,2024-12-03,2024-12-11,Medium Priority
Marketing Plan,Process vendor payments,events@company.com,2024-12-01,2024-12-11,Medium Priority
Marketing Plan,Prepare presentation,hr@company.com,2024-11-29,2024-12-12,Medium Priority
Team Meeting,Install updates,legal@company.com,2024-12-03,2024-12-12,Medium Priority
System Maintenance,Renew vendor contracts,hr@company.com,2024-12-04,2024-12-12,Medium Priority
Budget Approval,Renew vendor contracts,manager@company.com,2024-12-04,2024-12-12,Medium Priority
Meeting Reminder,Renew vendor contracts,marketing@company.com,2024-12-05,2024-12-12,Medium Priority
Policy Review,Share training feedback,manager@company.com,2024-11-30,2024-12-12,Medium Priority
Project Deadline,Prepare client proposal,it@company.com,2024-12-01,2024-12-12,Medium Priority
Feedback Request,Approve final budget,legal@company.com,2024-11-27,2024-12-12,Medium Priority
Team Meeting,Approve final budget,team@company.com,2024-12-01,2024-12-12,Medium Priority
Meeting Reminder,Finalize marketing plan,hr@company.com,2024-12-03,2024-12-12,Medium Priority
Leave Request,Complete the draft,team@company.com,2024-11-29,2024-12-12,Medium Priority
Client Follow-Up,Share training feedback,marketing@company.com,2024-12-05,2024-12-12,Medium Priority
Meeting Reminder,Complete employee survey,hr@company.com,2024-12-04,2024-12-13,Medium Priority
Holiday Plans,Follow up with client,events@company.com,2024-12-01,2024-12-13,Medium Priority
Client Follow-Up,Prepare client proposal,finance@company.com,2024-11-29,2024-12-13,Medium Priority
Performance Review,Submit travel plans,training@company.com,2024-11-30,2024-12-13,Medium Priority
Client Proposal,Submit Q4 invoice,travel@company.com,2024-11-28,2024-12-13,Medium Priority
Event RSVP,Provide feedback on report,admin@company.com,2024-12-04,2024-12-13,Medium Priority
Holiday Plans,Follow up with client,travel@company.com,2024-11-29,2024-12-13,Medium Priority
Meeting Agenda,Prepare client proposal,training@company.com,2024-12-02,2024-12-14,Medium Priority
Meeting Agenda,Prepare presentation,admin@company.com,2024-12-04,2024-12-14,Medium Priority
Project Deadline,Request office maintenance,events@company.com,2024-12-03,2024-12-14,Medium Priority
Policy Update,Request office maintenance,travel@company.com,2024-11-29,2024-12-14,Medium Priority
Policy Update,Review new company policies,hr@company.com,2024-12-02,2024-12-14,Medium Priority
System Update,Submit Q4 invoice,team@company.com,2024-12-03,2024-12-14,Medium Priority
Policy Update,Submit travel plans,marketing@company.com,2024-12-03,2024-12-15,Medium Priority
Event RSVP,Prepare client proposal,finance@company.com,2024-12-02,2024-12-15,Medium Priority
Quarterly Review,Schedule maintenance window,ceo@company.com,2024-12-05,2024-12-15,Medium Priority
Meeting Reminder,Approve final budget,training@company.com,2024-12-03,2024-12-15,Medium Priority
Project Deadline,Discuss project updates,travel@company.com,2024-12-05,2024-12-15,Medium Priority
Vendor Invoice,Approve final budget,training@company.com,2024-12-02,2024-12-15,Medium Priority
Contract Renewal,Request office maintenance,marketing@company.com,2024-12-03,2024-12-15,Medium Priority
Client Proposal,Prepare client proposal,manager@company.com,2024-12-03,2024-12-15,Medium Priority
Policy Review,Approve leave application,marketing@company.com,2024-12-05,2024-12-16,Low Priority
Vendor Invoice,Request office maintenance,team@company.com,2024-12-05,2024-12-16,Low Priority
Client Proposal,Review agenda for meeting,training@company.com,2024-12-01,2024-12-16,Low Priority
System Update,Sync on project updates,legal@company.com,2024-12-01,2024-12-16,Low Priority
Budget Approval,Provide feedback on report,team@company.com,2024-12-02,2024-12-17,Low Priority
System Maintenance,Submit Q4 invoice,hr@company.com,2024-12-03,2024-12-17,Low Priority
Office Maintenance,Share training feedback,training@company.com,2024-12-05,2024-12-17,Low Priority
Policy Review,Complete employee survey,travel@company.com,2024-12-03,2024-12-17,Low Priority
Team Meeting,Announce HR changes,manager@company.com,2024-12-03,2024-12-17,Low Priority
Quarterly Review,Prepare client proposal,marketing@company.com,2024-12-05,2024-12-17,Low Priority
Quarterly Review,Submit Q4 invoice,it@company.com,2024-12-03,2024-12-17,Low Priority
Travel Itinerary,Register for training session,admin@company.com,2024-12-05,2024-12-17,Low Priority
Team Meeting,Process vendor payments,legal@company.com,2024-12-04,2024-12-18,Low Priority
Training Feedback,Announce HR changes,it@company.com,2024-12-05,2024-12-19,Low Priority
HR Announcement,Prepare client proposal,admin@company.com,2024-12-04,2024-12-19,Low Priority
Marketing Plan,Plan kickoff meeting,hr@company.com,2024-12-04,2024-12-19,Low Priority
Office Maintenance,Complete employee survey,events@company.com,2024-12-04,2024-12-19,Low Priority
HR Announcement,Confirm holiday schedule,finance@company.com,2024-12-05,2024-12-19,Low Priority
System Maintenance,Request office maintenance,admin@company.com,2024-12-05,2024-12-20,Low Priority
