Subject,Body,Sender,Received Date,Due Date
Training Invitation,Discuss quarterly goals,legal@company.com,2024-11-26,2024-11-30
Policy Update,Process vendor payments,team@company.com,2024-11-25,2024-12-01
Office Maintenance,Announce HR changes,finance@company.com,2024-12-02,2024-12-10
Marketing Plan,Prepare presentation,hr@company.com,2024-11-29,2024-12-12
Meeting Agenda,Reply to invitation,manager@company.com,2024-11-29,2024-12-11
System Update,Sync on project updates,legal@company.com,2024-12-01,2024-12-16
Quarterly Review,Prepare client proposal,marketing@company.com,2024-12-05,2024-12-17
Policy Review,Process vendor payments,travel@company.com,2024-11-29,2024-12-07
Policy Update,Review new company policies,hr@company.com,2024-12-02,2024-12-14
Client Follow-Up,Prepare client proposal,finance@company.com,2024-11-29,2024-12-13
Leave Request,Prepare client proposal,hr@company.com,2024-11-26,2024-11-27
Holiday Plans,Follow up with client,travel@company.com,2024-11-29,2024-12-13
HR Announcement,Finalize marketing plan,travel@company.com,2024-11-28,2024-12-06
Vendor Invoice,Review new company policies,training@company.com,2024-11-26,2024-11-28
Employee Survey,Discuss project updates,marketing@company.com,2024-11-29,2024-11-30
Training Invitation,Review agenda for meeting,ceo@company.com,2024-11-29,2024-12-08
Training Invitation,Review agenda for meeting,legal@company.com,2024-12-03,2024-12-05
Meeting Reminder,Coordinate event logistics,marketing@company.com,2024-12-02,2024-12-08
Invoice Submission,Submit travel plans,it@company.com,2024-12-05,2024-12-07
Weekly Sync-Up,Install updates,it@company.com,2024-12-01,2024-12-05
Meeting Reminder,Provide feedback on report,events@company.com,2024-11-26,2024-12-05
Travel Itinerary,Share training feedback,ceo@company.com,2024-11-25,2024-11-26
Marketing Plan,Install updates,training@company.com,2024-11-29,2024-12-03
Office Maintenance,Share training feedback,training@company.com,2024-12-05,2024-12-17
Quarterly Review,Schedule maintenance window,ceo@company.com,2024-12-05,2024-12-15
Budget Approval,Provide feedback on report,team@company.com,2024-12-02,2024-12-17
Office Maintenance,Reply to invitation,it@company.com,2024-11-29,2024-12-09
HR Announcement,Review new company policies,events@company.com,2024-11-28,2024-12-05
Project Kickoff,Prepare client proposal,team@company.com,2024-11-27,2024-11-29
Meeting Agenda,Prepare client proposal,training@company.com,2024-12-02,2024-12-14
Policy Update,Submit travel plans,marketing@company.com,2024-12-03,2024-12-15
Team Meeting,Process vendor payments,legal@company.com,2024-12-04,2024-12-18
Meeting Reminder,Complete employee survey,hr@company.com,2024-12-04,2024-12-13
HR Announcement,Confirm holiday schedule,finance@company.com,2024-12-05,2024-12-19
Vendor Invoice,Prepare client proposal,it@company.com,2024-11-30,2024-12-03
Marketing Plan,Confirm holiday schedule,manager@company.com,2024-11-27,2024-12-04
Client Proposal,Complete the draft,team@company.com,2024-11-28,2024-12-11
Travel Itinerary,Finalize marketing plan,admin@company.com,2024-11-28,2024-12-11
Client Proposal,Review agenda for meeting,training@company.com,2024-12-01,2024-12-16
Meeting Reminder,Follow up with client,manager@company.com,2024-11-25,2024-11-27
Policy Update,Request office maintenance,travel@company.com,2024-11-29,2024-12-14
Meeting Agenda,Prepare presentation,admin@company.com,2024-12-04,2024-12-14
Event Planning,Install updates,finance@company.com,2024-11-28,2024-12-11
Project Kickoff,Confirm holiday schedule,marketing@company.com,2024-12-03,2024-12-11
Client Proposal,Install updates,marketing@company.com,2024-11-26,2024-12-06
Leave Request,Request office maintenance,hr@company.com,2024-12-02,2024-12-10
HR Announcement,Sync on project updates,marketing@company.com,2024-11-27,2024-12-11
Vendor Invoice,Plan kickoff meeting,manager@company.com,2024-11-26,2024-11-28
Training Feedback,Install updates,marketing@company.com,2024-12-05,2024-12-10
Invoice Submission,Install updates,team@company.com,2024-11-27,2024-12-08
HR Announcement,Reply to invitation,travel@company.com,2024-12-05,2024-12-11
Project Deadline,Request office maintenance,events@company.com,2024-12-03,2024-12-14
Training Invitation,Request office maintenance,hr@company.com,2024-11-27,2024-12-11
Contract Renewal,Request office maintenance,it@company.com,2024-11-30,2024-12-03
Office Maintenance,Complete employee survey,events@company.com,2024-12-04,2024-12-19
Feedback Request,Approve final budget,legal@company.com,2024-11-27,2024-12-12
Marketing Plan,Review agenda for meeting,team@company.com,2024-11-26,2024-12-08
Leave Request,Submit travel plans,ceo@company.com,2024-11-27,2024-12-10
HR Announcement,Renew vendor contracts,finance@company.com,2024-11-29,2024-12-08
Marketing Plan,Plan kickoff meeting,hr@company.com,2024-12-04,2024-12-19
Team Meeting,Approve final budget,team@company.com,2024-12-01,2024-12-12
Employee Survey,Submit travel plans,ceo@company.com,2024-11-27,2024-12-11
Event RSVP,Submit Q4 invoice,hr@company.com,2024-11-29,2024-12-08
System Update,Complete the draft,hr@company.com,2024-12-02,2024-12-10
Project Kickoff,Review updated policies,training@company.com,2024-11-27,2024-12-05
System Maintenance,Complete the draft,finance@company.com,2024-11-26,2024-12-08
Budget Approval,Follow up with client,ceo@company.com,2024-12-03,2024-12-11
Training Feedback,Submit Q4 invoice,admin@company.com,2024-12-01,2024-12-05
Meeting Agenda,Reply to invitation,ceo@company.com,2024-11-27,2024-12-02
Meeting Reminder,Approve final budget,training@company.com,2024-12-03,2024-12-15
Office Maintenance,Review new company policies,ceo@company.com,2024-11-30,2024-12-04
Project Kickoff,Provide feedback on report,hr@company.com,2024-12-02,2024-12-08
Vendor Invoice,Prepare client proposal,events@company.com,2024-11-27,2024-12-08
Project Deadline,Prepare client proposal,it@company.com,2024-12-01,2024-12-12
Marketing Plan,Process vendor payments,events@company.com,2024-12-01,2024-12-11
System Update,Submit Q4 invoice,team@company.com,2024-12-03,2024-12-14
Budget Approval,Review new company policies,marketing@company.com,2024-11-28,2024-12-05
Client Follow-Up,Share training feedback,marketing@company.com,2024-12-05,2024-12-12
Travel Itinerary,Confirm holiday schedule,it@company.com,2024-11-28,2024-11-30
Policy Review,Approve leave application,marketing@company.com,2024-12-05,2024-12-16
Event RSVP,Prepare client proposal,finance@company.com,2024-12-02,2024-12-15
Office Maintenance,Install updates,events@company.com,2024-11-27,2024-12-02
Performance Review,Follow up with client,events@company.com,2024-12-03,2024-12-08
Event RSVP,Schedule review meeting,ceo@company.com,2024-11-25,2024-12-01
Policy Update,Follow up with client,admin@company.com,2024-11-26,2024-12-09
Feedback Request,Process vendor payments,it@company.com,2024-11-30,2024-12-06
Budget Approval,Renew vendor contracts,admin@company.com,2024-11-25,2024-11-29
Travel Itinerary,Complete the draft,manager@company.com,2024-11-28,2024-11-29
Contract Renewal,Discuss quarterly goals,training@company.com,2024-11-30,2024-12-05
Invoice Submission,Approve final budget,finance@company.com,2024-12-03,2024-12-09
Employee Survey,Request office maintenance,events@company.com,2024-11-26,2024-12-02
Employee Survey,Install updates,finance@company.com,2024-12-03,2024-12-06
Travel Itinerary,Confirm holiday schedule,admin@company.com,2024-12-05,2024-12-07
System Maintenance,Request office maintenance,travel@company.com,2024-11-27,2024-12-05
Vendor Invoice,Reply to invitation,admin@company.com,2024-11-28,2024-11-29
Event Planning,Install updates,marketing@company.com,2024-12-01,2024-12-03
Team Meeting,Approve final budget,it@company.com,2024-11-28,2024-11-29
Leave Request,Complete the draft,team@company.com,2024-11-29,2024-12-12
Contract Renewal,Request office maintenance,marketing@company.com,2024-12-03,2024-12-15
Project Deadline,Plan kickoff meeting,marketing@company.com,2024-11-26,2024-12-04
Feedback Request,Process vendor payments,ceo@company.com,2024-12-02,2024-12-10
Policy Update,Prepare client proposal,travel@company.com,2024-11-27,2024-12-01
Project Kickoff,Request office maintenance,marketing@company.com,2024-11-26,2024-12-04
Client Follow-Up,Share training feedback,admin@company.com,2024-12-01,2024-12-03
HR Announcement,Plan kickoff meeting,admin@company.com,2024-11-25,2024-11-27
Holiday Plans,Coordinate event logistics,manager@company.com,2024-11-29,2024-12-06
Policy Review,Review updated policies,it@company.com,2024-12-01,2024-12-03
Training Invitation,Discuss quarterly goals,legal@company.com,2024-12-05,2024-12-10
Training Invitation,Submit travel plans,legal@company.com,2024-11-28,2024-11-29
Performance Review,Schedule maintenance window,events@company.com,2024-12-02,2024-12-09
Office Maintenance,Plan kickoff meeting,finance@company.com,2024-11-27,2024-12-04
Holiday Plans,Coordinate event logistics,it@company.com,2024-11-25,2024-12-09
Vendor Invoice,Register for training session,admin@company.com,2024-11-26,2024-12-03
Feedback Request,Approve final budget,travel@company.com,2024-12-04,2024-12-11
Meeting Reminder,Finalize marketing plan,hr@company.com,2024-12-03,2024-12-12
System Maintenance,Request office maintenance,admin@company.com,2024-12-05,2024-12-20
Project Kickoff,Schedule maintenance window,training@company.com,2024-12-03,2024-12-09
Weekly Sync-Up,Submit Q4 invoice,manager@company.com,2024-11-29,2024-12-11
Holiday Plans,Review new company policies,travel@company.com,2024-11-27,2024-12-03
Vendor Invoice,Complete the draft,manager@company.com,2024-11-28,2024-11-29
Team Meeting,Prepare presentation,events@company.com,2024-12-01,2024-12-06
Project Deadline,Discuss project updates,travel@company.com,2024-12-05,2024-12-15
Travel Itinerary,Register for training session,admin@company.com,2024-12-05,2024-12-17
Vendor Invoice,Share training feedback,hr@company.com,2024-12-03,2024-12-06
Training Invitation,Prepare client proposal,hr@company.com,2024-11-27,2024-12-08
Quarterly Review,Provide feedback on report,it@company.com,2024-11-25,2024-12-10
Client Proposal,Schedule maintenance window,manager@company.com,2024-12-04,2024-12-07
Contract Renewal,Discuss quarterly goals,legal@company.com,2024-11-27,2024-12-04
Holiday Plans,Complete the draft,travel@company.com,2024-11-29,2024-12-01
Weekly Sync-Up,Coordinate event logistics,manager@company.com,2024-11-25,2024-12-08
Vendor Invoice,Approve final budget,training@company.com,2024-12-02,2024-12-15
Client Follow-Up,Renew vendor contracts,legal@company.com,2024-11-25,2024-12-03
Travel Itinerary,Announce HR changes,finance@company.com,2024-11-29,2024-12-07
Meeting Reminder,Renew vendor contracts,marketing@company.com,2024-12-05,2024-12-12
Weekly Sync-Up,Schedule review meeting,manager@company.com,2024-11-28,2024-11-29
Event RSVP,Discuss project updates,finance@company.com,2024-11-25,2024-11-30
Invoice Submission,Confirm holiday schedule,marketing@company.com,2024-12-03,2024-12-04
Travel Itinerary,Approve leave application,it@company.com,2024-12-04,2024-12-06
Budget Approval,Approve leave application,travel@company.com,2024-11-29,2024-12-06
Invoice Submission,Discuss quarterly goals,it@company.com,2024-11-26,2024-12-06
Project Deadline,Reply to invitation,team@company.com,2024-11-28,2024-12-10
Budget Approval,Renew vendor contracts,manager@company.com,2024-12-04,2024-12-12
Budget Approval,Install updates,it@company.com,2024-11-27,2024-12-05
Performance Review,Schedule maintenance window,admin@company.com,2024-12-04,2024-12-07
Policy Review,Share training feedback,manager@company.com,2024-11-30,2024-12-12
Client Proposal,Complete the draft,ceo@company.com,2024-12-01,2024-12-08
Policy Review,Complete employee survey,travel@company.com,2024-12-03,2024-12-17
Project Deadline,Approve leave application,training@company.com,2024-11-29,2024-12-04
Office Maintenance,Coordinate event logistics,manager@company.com,2024-12-02,2024-12-03
Event RSVP,Finalize marketing plan,team@company.com,2024-12-03,2024-12-05
Marketing Plan,Request office maintenance,travel@company.com,2024-12-01,2024-12-10
Event Planning,Discuss project updates,events@company.com,2024-11-29,2024-12-03
Holiday Plans,Follow up with client,events@company.com,2024-12-01,2024-12-13
Meeting Reminder,Sync on project updates,manager@company.com,2024-11-25,2024-12-09
Team Meeting,Announce HR changes,manager@company.com,2024-12-03,2024-12-17
Performance Review,Submit travel plans,training@company.com,2024-11-30,2024-12-13
Team Meeting,Register for training session,travel@company.com,2024-12-04,2024-12-11
System Maintenance,Renew vendor contracts,hr@company.com,2024-12-04,2024-12-12
Budget Approval,Review agenda for meeting,training@company.com,2024-11-29,2024-12-09
Client Proposal,Submit Q4 invoice,team@company.com,2024-12-03,2024-12-07
Policy Review,Finalize marketing plan,finance@company.com,2024-11-29,2024-12-06
Event RSVP,Install updates,admin@company.com,2024-12-01,2024-12-07
Holiday Plans,Approve leave application,admin@company.com,2024-12-01,2024-12-03
Event Planning,Sync on project updates,legal@company.com,2024-12-03,2024-12-08
Event Planning,Discuss project updates,finance@company.com,2024-12-05,2024-12-09
Contract Renewal,Reply to invitation,travel@company.com,2024-11-29,2024-12-01
Project Kickoff,Renew vendor contracts,manager@company.com,2024-11-29,2024-12-06
Team Meeting,Submit Q4 invoice,it@company.com,2024-11-28,2024-12-01
Leave Request,Discuss quarterly goals,admin@company.com,2024-11-29,2024-12-02
Feedback Request,Finalize marketing plan,events@company.com,2024-11-28,2024-12-01
Client Proposal,Discuss quarterly goals,finance@company.com,2024-11-26,2024-11-30
Training Feedback,Announce HR changes,it@company.com,2024-12-05,2024-12-19
Office Maintenance,Follow up with client,it@company.com,2024-12-05,2024-12-08
Invoice Submission,Schedule maintenance window,events@company.com,2024-11-30,2024-12-01
